State,Action,Q-Value
"(1, 1.0, 0.0, 0.0)",0.0,0.0014579999999999999
"(1, 1.0, 0.0, 0.0)",2.0,0.7413233451258283
"(1, 1.0, 0.0, 0.0)",4.0,0.45254700000000003
"(1, 1.0, 0.0, 0.0)",1.0,0.61250264937
"(1, 1.0, 0.0, 0.0)",3.0,0.06364500000000001
"(1, 1.0, 0.0, 1.0)",4.0,0.054
"(1, 1.0, 0.0, 1.0)",1.0,0.00081
"(1, 1.0, 0.0, 2.0)",0.0,0.0
"(1, 1.0, 0.0, 2.0)",2.0,0.3269
"(1, 1.0, 0.0, 2.0)",4.0,0.27876561
"(1, 1.0, 0.0, 2.0)",1.0,0.0
"(1, 1.0, 0.0, 2.0)",3.0,0.5673549599999999
"(1, 1.0, 0.0, 3.0)",3.0,0.43122
"(1, 1.0, 0.0, 3.0)",0.0,0.0
"(1, 1.0, 0.0, 3.0)",2.0,1.5854059999999999
"(1, 1.0, 0.0, 3.0)",4.0,0.03
"(1, 1.0, 0.0, 3.0)",1.0,0.91486
"(1, 1.0, 0.0, 4.0)",3.0,0.3
"(1, 1.0, 0.0, 4.0)",0.0,0.00243
"(1, 1.0, 0.0, 4.0)",4.0,0.18
"(1, 1.0, 1.0, 0.0)",1.0,0.18787869
"(1, 1.0, 1.0, 0.0)",3.0,0.03
"(1, 1.0, 1.0, 0.0)",0.0,0.0
"(1, 1.0, 1.0, 0.0)",2.0,0.2249049
"(1, 1.0, 1.0, 0.0)",4.0,0.029475738
"(1, 1.0, 1.0, 2.0)",0.0,0.0
"(1, 1.0, 1.0, 2.0)",2.0,0.3607493388138277
"(1, 1.0, 1.0, 2.0)",4.0,0.1687147214427
"(1, 1.0, 1.0, 2.0)",1.0,0.2949738693361214
"(1, 1.0, 1.0, 2.0)",3.0,0.40989545730662935
"(1, 1.0, 1.0, 3.0)",0.0,0.0
"(1, 1.0, 1.0, 3.0)",2.0,0.7654414438213
"(1, 1.0, 1.0, 3.0)",4.0,0.18586490579166398
"(1, 1.0, 1.0, 3.0)",1.0,0.37474586858591935
"(1, 1.0, 1.0, 3.0)",3.0,0.12024754842771807
"(1, 1.0, 1.0, 4.0)",0.0,0.0
"(1, 1.0, 1.0, 4.0)",2.0,0.20196830000000002
"(1, 1.0, 1.0, 4.0)",4.0,0.0567
"(1, 1.0, 1.0, 4.0)",1.0,0.28290014676540004
"(1, 1.0, 1.0, 4.0)",3.0,0.192
"(1, 1.0, 2.0, 0.0)",1.0,1.0
"(1, 1.0, 2.0, 0.0)",3.0,0.0
"(1, 1.0, 2.0, 0.0)",0.0,0.1
"(1, 1.0, 2.0, 0.0)",2.0,0.3
"(1, 1.0, 2.0, 0.0)",4.0,0.09
"(1, 1.0, 2.0, 3.0)",1.0,1.0
"(1, 1.0, 2.0, 3.0)",3.0,0.28674282240725524
"(1, 1.0, 2.0, 3.0)",0.0,1.0
"(1, 1.0, 2.0, 3.0)",2.0,0.53837064832042
"(1, 1.0, 2.0, 3.0)",4.0,0.21277975139874275
"(1, 1.0, 2.0, 4.0)",1.0,0.271
"(1, 1.0, 2.0, 4.0)",3.0,0.057
"(1, 1.0, 2.0, 4.0)",0.0,1.0
"(1, 1.0, 2.0, 4.0)",2.0,0.0
"(1, 1.0, 2.0, 4.0)",4.0,0.0139
"(1, 1.0, 3.0, 0.0)",4.0,0.063
"(1, 1.0, 3.0, 0.0)",1.0,0.30000000000000004
"(1, 1.0, 3.0, 0.0)",3.0,0.354
"(1, 1.0, 3.0, 0.0)",0.0,2.68049
"(1, 1.0, 3.0, 0.0)",2.0,2.0
"(1, 1.0, 3.0, 3.0)",0.0,2.0
"(1, 1.0, 3.0, 3.0)",2.0,2.0
"(1, 1.0, 3.0, 3.0)",4.0,0.35803007791788954
"(1, 1.0, 3.0, 3.0)",1.0,2.0
"(1, 1.0, 3.0, 3.0)",3.0,0.37586562947862895
"(1, 1.0, 3.0, 4.0)",0.0,2.0
"(1, 1.0, 3.0, 4.0)",2.0,2.14661
"(1, 1.0, 3.0, 4.0)",4.0,0.5746065
"(1, 1.0, 3.0, 4.0)",1.0,2.2537764110000005
"(1, 1.0, 3.0, 4.0)",3.0,0.302187
"(1, 1.0, 4.0, 0.0)",0.0,4.0
"(1, 1.0, 4.0, 0.0)",1.0,4.0
