State,Action,Q-Value
"(66.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",84,0.0
"(66.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",66,0.0
"(66.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",76,0.0
"(66.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",81,0.0
"(66.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",97,0.0
"(66.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",78,0.0
"(66.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",75,0.0
"(66.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",93,0.0
"(66.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",86,0.0
"(66.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",99,0.0
"(66.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",83,0.0
"(66.0, 30.0, 50.0, 10.0, 90.0, 30.0, 70.0)",66,0.0
"(66.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",92,0.0
"(66.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",77,0.0
"(66.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",85,0.0
"(66.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",70,0.0
"(66.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",71,0.0
"(66.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",82,0.0
"(68.0, 30.0, 50.0, 10.0, 90.0, 30.0, 50.0)",68,0.0
"(68.0, 30.0, 50.0, 10.0, 90.0, 30.0, 70.0)",68,0.0
"(68.0, 30.0, 50.0, 10.0, 90.0, 30.0, 70.0)",80,0.0
"(68.0, 50.0, 70.0, 10.0, 90.0, 30.0, 70.0)",68,0.0
"(68.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",68,0.0
"(68.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",77,0.0
"(68.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",83,0.0
"(68.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",73,0.0
"(68.0, 30.0, 50.0, 10.0, 90.0, 30.0, 70.0)",69,0.0
"(68.0, 30.0, 50.0, 10.0, 90.0, 30.0, 70.0)",89,0.0
"(68.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",93,0.0
"(68.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",88,0.0
"(68.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",71,0.0
"(68.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",81,0.0
"(68.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",85,0.0
"(68.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",90,0.0
"(68.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",70,0.0
"(68.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",69,0.0
"(68.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",99,0.0
"(68.0, 50.0, 50.0, 10.0, 90.0, 30.0, 50.0)",68,0.0
"(44.0, 50.0, 70.0, 10.0, 90.0, 30.0, 70.0)",70,4.0
"(44.0, 50.0, 70.0, 10.0, 90.0, 30.0, 70.0)",94,0.0
"(44.0, 50.0, 70.0, 10.0, 90.0, 30.0, 90.0)",44,12.0
"(44.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",44,4.0
"(44.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",50,6.0
"(66.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",88,0.0
"(66.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",98,0.0
"(66.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",91,0.0
"(66.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",72,0.0
"(66.0, 50.0, 50.0, 10.0, 90.0, 30.0, 70.0)",69,0.0
