State,Action,Count
"(1, 1.0, 1.0, 0.0)",1.0,29
"(1, 1.0, 1.0, 2.0)",1.0,589
"(1, 2.0, 1.0, 2.0)",0.0,716
"(1, 1.0, 0.0, 2.0)",1.0,16
"(1, 2.0, 1.0, 2.0)",3.0,24
"(1, 2.0, 1.0, 2.0)",4.0,15
"(1, 2.0, 1.0, 3.0)",1.0,416
"(1, 2.0, 2.0, 3.0)",1.0,214
"(1, 2.0, 1.0, 3.0)",2.0,17
"(1, 2.0, 1.0, 2.0)",2.0,22
"(1, 1.0, 1.0, 3.0)",1.0,45
"(1, 1.0, 1.0, 2.0)",2.0,18
"(1, 2.0, 1.0, 0.0)",2.0,29
"(1, 1.0, 0.0, 0.0)",3.0,27
"(1, 1.0, 0.0, 3.0)",1.0,17
"(1, 2.0, 0.0, 0.0)",3.0,2
"(1, 2.0, 0.0, 4.0)",4.0,1
"(1, 2.0, 1.0, 6.0)",1.0,7
"(1, 2.0, 1.0, 3.0)",4.0,20
"(1, 2.0, 1.0, 6.0)",0.0,3
"(1, 1.0, 1.0, 2.0)",0.0,27
"(1, 2.0, 0.0, 0.0)",2.0,24
"(1, 2.0, 0.0, 3.0)",2.0,58
"(1, 2.0, 0.0, 3.0)",0.0,2
"(1, 1.0, 1.0, 2.0)",4.0,28
"(1, 1.0, 1.0, 2.0)",3.0,26
"(1, 1.0, 2.0, 0.0)",0.0,11
"(1, 2.0, 0.0, 3.0)",4.0,2
"(1, 2.0, 0.0, 6.0)",2.0,1
"(1, 2.0, 2.0, 3.0)",3.0,9
"(1, 2.0, 2.0, 4.0)",1.0,14
"(1, 2.0, 0.0, 6.0)",0.0,1
"(1, 2.0, 0.0, 2.0)",2.0,7
"(1, 2.0, 1.0, 2.0)",1.0,28
"(1, 3.0, 1.0, 2.0)",0.0,29
"(1, 3.0, 0.0, 2.0)",2.0,1
"(1, 3.0, 1.0, 4.0)",1.0,12
"(1, 2.0, 1.0, 3.0)",0.0,14
"(1, 2.0, 0.0, 2.0)",3.0,9
"(1, 2.0, 1.0, 4.0)",3.0,2
"(1, 2.0, 1.0, 4.0)",1.0,1
"(1, 3.0, 0.0, 0.0)",2.0,1
"(1, 3.0, 0.0, 4.0)",2.0,3
"(1, 3.0, 1.0, 2.0)",2.0,42
"(1, 3.0, 1.0, 2.0)",1.0,39
"(1, 3.0, 1.0, 3.0)",0.0,18
"(1, 3.0, 1.0, 3.0)",2.0,15
"(1, 3.0, 1.0, 4.0)",2.0,7
"(1, 3.0, 2.0, 4.0)",2.0,6
"(1, 3.0, 2.0, 4.0)",1.0,3
"(1, 3.0, 2.0, 3.0)",1.0,5
"(1, 3.0, 2.0, 3.0)",0.0,9
"(1, 3.0, 0.0, 3.0)",1.0,7
"(1, 2.0, 0.0, 0.0)",0.0,1
"(1, 2.0, 2.0, 0.0)",3.0,10
"(1, 3.0, 1.0, 0.0)",0.0,2
"(1, 2.0, 2.0, 3.0)",0.0,8
"(1, 2.0, 2.0, 0.0)",4.0,1
"(1, 2.0, 2.0, 6.0)",2.0,1
"(1, 1.0, 2.0, 3.0)",0.0,9
"(1, 2.0, 1.0, 3.0)",3.0,14
"(1, 2.0, 3.0, 0.0)",1.0,3
"(1, 2.0, 0.0, 4.0)",0.0,1
"(1, 3.0, 0.0, 4.0)",1.0,2
"(1, 3.0, 0.0, 3.0)",2.0,2
"(1, 3.0, 2.0, 4.0)",0.0,2
"(1, 3.0, 1.0, 3.0)",1.0,20
"(1, 3.0, 1.0, 2.0)",4.0,2
"(1, 3.0, 1.0, 4.0)",0.0,6
"(1, 3.0, 0.0, 3.0)",3.0,1
"(1, 3.0, 0.0, 6.0)",2.0,1
"(1, 1.0, 0.0, 4.0)",3.0,1
"(1, 1.0, 2.0, 3.0)",1.0,9
"(1, 2.0, 2.0, 4.0)",3.0,1
"(1, 2.0, 1.0, 4.0)",2.0,8
"(1, 2.0, 0.0, 0.0)",1.0,1
"(1, 2.0, 0.0, 3.0)",1.0,2
"(1, 2.0, 0.0, 4.0)",1.0,3
"(1, 3.0, 1.0, 2.0)",3.0,7
"(1, 3.0, 3.0, 3.0)",0.0,1
"(1, 1.0, 0.0, 2.0)",4.0,1
"(1, 1.0, 1.0, 4.0)",1.0,5
"(1, 2.0, 0.0, 2.0)",0.0,7
"(1, 1.0, 1.0, 0.0)",0.0,1
"(1, 3.0, 0.0, 0.0)",1.0,2
"(1, 3.0, 1.0, 3.0)",4.0,1
"(1, 3.0, 2.0, 7.0)",0.0,1
"(1, 2.0, 2.0, 6.0)",1.0,1
"(1, 1.0, 3.0, 0.0)",0.0,1
"(1, 1.0, 0.0, 1.0)",3.0,3
"(1, 2.0, 2.0, 0.0)",1.0,1
"(1, 1.0, 1.0, 3.0)",2.0,3
"(1, 2.0, 2.0, 3.0)",2.0,4
"(1, 2.0, 3.0, 3.0)",1.0,2
"(1, 1.0, 2.0, 3.0)",3.0,2
"(1, 1.0, 0.0, 2.0)",0.0,1
"(1, 1.0, 0.0, 2.0)",2.0,1
"(1, 3.0, 2.0, 3.0)",2.0,6
"(1, 3.0, 1.0, 6.0)",1.0,2
"(1, 3.0, 0.0, 0.0)",4.0,1
"(1, 3.0, 1.0, 7.0)",2.0,2
"(1, 2.0, 0.0, 1.0)",0.0,2
"(1, 2.0, 0.0, 1.0)",4.0,1
"(1, 3.0, 2.0, 0.0)",2.0,2
"(1, 3.0, 1.0, 0.0)",1.0,2
"(1, 2.0, 0.0, 1.0)",2.0,1
"(1, 2.0, 0.0, 1.0)",1.0,2
"(1, 1.0, 2.0, 0.0)",1.0,7
"(1, 1.0, 1.0, 3.0)",0.0,1
"(1, 1.0, 1.0, 3.0)",3.0,3
"(1, 2.0, 2.0, 3.0)",4.0,3
"(1, 1.0, 2.0, 4.0)",0.0,1
"(1, 2.0, 1.0, 0.0)",3.0,1
"(1, 2.0, 0.0, 3.0)",3.0,1
"(1, 2.0, 2.0, 0.0)",0.0,1
"(1, 2.0, 1.0, 0.0)",1.0,1
"(1, 3.0, 1.0, 0.0)",4.0,1
"(1, 3.0, 0.0, 3.0)",0.0,5
"(1, 1.0, 0.0, 0.0)",2.0,1
"(1, 1.0, 3.0, 3.0)",3.0,1
"(1, 1.0, 3.0, 3.0)",2.0,1
"(1, 1.0, 0.0, 3.0)",0.0,1
"(1, 3.0, 2.0, 0.0)",0.0,1
"(1, 3.0, 1.0, 3.0)",3.0,2
"(1, 3.0, 1.0, 6.0)",2.0,2
"(1, 3.0, 3.0, 4.0)",2.0,1
"(1, 3.0, 3.0, 4.0)",1.0,1
"(1, 3.0, 2.0, 4.0)",4.0,1
"(1, 3.0, 2.0, 7.0)",1.0,1
"(1, 1.0, 1.0, 3.0)",4.0,1
"(1, 1.0, 0.0, 3.0)",2.0,1
"(1, 2.0, 0.0, 2.0)",1.0,2
"(1, 3.0, 0.0, 4.0)",0.0,1
"(1, 2.0, 2.0, 6.0)",0.0,1
"(1, 2.0, 1.0, 0.0)",4.0,1
