State,Action,Q-Value
"(1.0, 0.0, 0.0)",1.0,0.40162
"(1.0, 0.0, 0.0)",4.0,0.09392727272727272
"(1.0, 0.0, 0.0)",0.0,0.009
"(1.0, 0.0, 0.0)",2.0,0.0241215
"(1.0, 0.0, 0.0)",3.0,0.045607499999999995
"(1.0, 0.0, 1.0)",2.0,0.075
"(1.0, 0.0, 1.0)",1.0,0.0
"(1.0, 0.0, 1.0)",4.0,0.009
"(1.0, 0.0, 1.0)",0.0,0.0026999999999999997
"(1.0, 0.0, 1.0)",3.0,0.15
"(1.0, 0.0, 2.0)",3.0,0.0054
"(1.0, 0.0, 2.0)",1.0,1.0
"(1.0, 0.0, 2.0)",0.0,0.0
"(1.0, 0.0, 2.0)",2.0,0.0135
"(1.0, 0.0, 3.0)",3.0,0.060486
"(1.0, 0.0, 3.0)",1.0,0.3333333333333333
"(1.0, 0.0, 3.0)",4.0,0.018486
"(1.0, 0.0, 3.0)",0.0,0.015
"(1.0, 0.0, 3.0)",2.0,0.03981
"(1.0, 0.0, 4.0)",4.0,0.00162
"(1.0, 0.0, 4.0)",3.0,0.0108
"(1.0, 0.0, 4.0)",1.0,0.078
"(1.0, 0.0, 4.0)",2.0,0.0
"(1.0, 0.0, 4.0)",0.0,0.0
"(1.0, 1.0, 0.0)",1.0,0.27520249999999996
"(1.0, 1.0, 0.0)",0.0,0.0
"(1.0, 1.0, 0.0)",2.0,0.00035099999999999997
"(1.0, 1.0, 0.0)",3.0,0.05135
"(1.0, 1.0, 0.0)",4.0,0.01635
"(1.0, 1.0, 2.0)",2.0,0.009036083721851851
"(1.0, 1.0, 2.0)",3.0,0.0241091047875
"(1.0, 1.0, 2.0)",0.0,0.0
"(1.0, 1.0, 2.0)",1.0,0.16178460560227273
"(1.0, 1.0, 2.0)",4.0,0.019729414864864868
"(1.0, 1.0, 3.0)",4.0,0.032504488256286206
"(1.0, 1.0, 3.0)",0.0,0.0
"(1.0, 1.0, 3.0)",2.0,0.036468749999999994
"(1.0, 1.0, 3.0)",1.0,0.31610350084975675
"(1.0, 1.0, 3.0)",3.0,0.03825220012894737
"(1.0, 1.0, 4.0)",0.0,0.0
"(1.0, 1.0, 4.0)",4.0,0.0
"(1.0, 1.0, 4.0)",3.0,0.018
"(1.0, 1.0, 4.0)",1.0,0.3333333333333333
"(1.0, 1.0, 4.0)",2.0,0.00675
"(1.0, 2.0, 0.0)",4.0,0.0225
"(1.0, 2.0, 0.0)",0.0,1.0
