State,Action,Q-Value
"(1, 1.0, 0.0, 0.0)",0.0,0.002187
"(1, 1.0, 0.0, 0.0)",2.0,0.31842956461467
"(1, 1.0, 0.0, 0.0)",4.0,0.31518578907
"(1, 1.0, 0.0, 0.0)",1.0,0.682529668954498
"(1, 1.0, 0.0, 0.0)",3.0,0.590643114801987
"(1, 1.0, 0.0, 1.0)",0.0,0.0
"(1, 1.0, 0.0, 1.0)",2.0,0.027
"(1, 1.0, 0.0, 1.0)",4.0,0.0
"(1, 1.0, 0.0, 1.0)",1.0,0.0
"(1, 1.0, 0.0, 1.0)",3.0,0.38909999999999995
"(1, 1.0, 0.0, 2.0)",0.0,0.00729
"(1, 1.0, 0.0, 2.0)",2.0,0.06
"(1, 1.0, 0.0, 2.0)",4.0,0.0034289999999999998
"(1, 1.0, 0.0, 2.0)",1.0,0.462264751737339
"(1, 1.0, 0.0, 2.0)",3.0,7.29e-05
"(1, 1.0, 0.0, 3.0)",3.0,0.0252333
"(1, 1.0, 0.0, 3.0)",0.0,0.0
"(1, 1.0, 0.0, 3.0)",2.0,0.216561
"(1, 1.0, 0.0, 3.0)",4.0,0.3613636063
"(1, 1.0, 0.0, 3.0)",1.0,0.5245029272672832
"(1, 1.0, 0.0, 4.0)",1.0,0.79068
"(1, 1.0, 0.0, 4.0)",3.0,0.30000000000000004
"(1, 1.0, 0.0, 4.0)",0.0,0.0
"(1, 1.0, 0.0, 4.0)",2.0,0.06
"(1, 1.0, 0.0, 4.0)",4.0,0.13821440999999998
"(1, 1.0, 1.0, 0.0)",1.0,0.0603
"(1, 1.0, 1.0, 0.0)",3.0,0.197748
"(1, 1.0, 1.0, 0.0)",0.0,0.0
"(1, 1.0, 1.0, 0.0)",2.0,0.8292261848986514
"(1, 1.0, 1.0, 0.0)",4.0,0.0227630190139218
"(1, 1.0, 1.0, 2.0)",0.0,0.0
"(1, 1.0, 1.0, 2.0)",2.0,0.1425716051648228
"(1, 1.0, 1.0, 2.0)",4.0,0.15548867467010685
"(1, 1.0, 1.0, 2.0)",1.0,0.6310808616107425
"(1, 1.0, 1.0, 2.0)",3.0,0.27696524098876574
"(1, 1.0, 1.0, 3.0)",0.0,0.0
"(1, 1.0, 1.0, 3.0)",2.0,0.6256875872648953
"(1, 1.0, 1.0, 3.0)",4.0,0.221446654537021
"(1, 1.0, 1.0, 3.0)",1.0,0.38345281399682896
